nodeid,event,service,time
0,received,/prefix/seq=175,9.087180300
0,sent,/prefix/seq=182,9.100000000
0,received,/prefix/seq=174,9.120848526
0,sent,/prefix/seq=183,9.150000000
0,received,/prefix/seq=176,9.178564601
0,sent,/prefix/seq=184,9.200000000
0,received,/prefix/seq=177,9.228420036
0,sent,/prefix/seq=185,9.250000000
0,received,/prefix/seq=179,9.287477204
0,sent,/prefix/seq=186,9.300000000
0,received,/prefix/seq=178,9.320533906
0,sent,/prefix/seq=187,9.350000000
0,received,/prefix/seq=180,9.378691579
0,sent,/prefix/seq=188,9.400000000
0,received,/prefix/seq=181,9.429155275
0,sent,/prefix/seq=189,9.450000000
0,received,/prefix/seq=183,9.487500387
0,sent,/prefix/seq=190,9.500000000
0,received,/prefix/seq=182,9.520082184
0,sent,/prefix/seq=191,9.550000000
0,received,/prefix/seq=184,9.578942423
0,sent,/prefix/seq=192,9.600000000
0,received,/prefix/seq=185,9.628724689
0,sent,/prefix/seq=193,9.650000000
0,received,/prefix/seq=187,9.687168935
0,sent,/prefix/seq=194,9.700000000
0,received,/prefix/seq=186,9.720475777
0,sent,/prefix/seq=195,9.750000000
0,received,/prefix/seq=188,9.778585910
0,sent,/prefix/seq=196,9.800000000
0,received,/prefix/seq=189,9.828983098
0,sent,/prefix/seq=197,9.850000000
0,received,/prefix/seq=191,9.886865644
0,sent,/prefix/seq=198,9.900000000
0,received,/prefix/seq=190,9.920635107
0,sent,/prefix/seq=199,9.950000000
0,received,/prefix/seq=192,9.978880859
0,sent,/prefix/seq=200,10.000000000
0,received,/prefix/seq=193,10.029019695
0,sent,/prefix/seq=201,10.050000000
0,received,/prefix/seq=195,10.087340455
0,sent,/prefix/seq=202,10.100000000
0,received,/prefix/seq=194,10.120519063
0,sent,/prefix/seq=203,10.150000000
0,received,/prefix/seq=196,10.178729791
0,sent,/prefix/seq=204,10.200000000
0,received,/prefix/seq=197,10.228452757
0,sent,/prefix/seq=205,10.250000000
0,received,/prefix/seq=199,10.286778166
0,sent,/prefix/seq=206,10.300000000
0,received,/prefix/seq=198,10.320201072
0,sent,/prefix/seq=207,10.350000000
0,received,/prefix/seq=200,10.378895948
