nodeid,service,serviceCount,status,time
7,,18,Current Resource,2.640000000
8,,0,Current Resource,2.640000000
6,,17,Current Resource,2.660000000
7,,18,Current Resource,2.660000000
8,,0,Current Resource,2.660000000
6,/prefix/seq=47,18,Data Correction,2.672652925
6,,18,Current Resource,2.680000000
7,,18,Current Resource,2.680000000
8,,0,Current Resource,2.680000000
7,/prefix/seq=53,17,Data Processing,2.680816000
7,0.292381,17,Computation time,2.680816000
7,/prefix/seq=48,18,Data Correction,2.681613405
6,,18,Current Resource,2.700000000
7,,18,Current Resource,2.700000000
8,,0,Current Resource,2.700000000
6,,18,Current Resource,2.720000000
7,,18,Current Resource,2.720000000
8,,0,Current Resource,2.720000000
6,/prefix/seq=54,17,Data Processing,2.730816000
6,0.291905,17,Computation time,2.730816000
8,/prefix/seq=34,1,Data Correction,2.731126609
6,,17,Current Resource,2.740000000
7,,18,Current Resource,2.740000000
8,,1,Current Resource,2.740000000
6,,17,Current Resource,2.760000000
7,,18,Current Resource,2.760000000
8,,1,Current Resource,2.760000000
6,/prefix/seq=49,18,Data Correction,2.772859088
6,,18,Current Resource,2.780000000
7,,18,Current Resource,2.780000000
8,,1,Current Resource,2.780000000
7,/prefix/seq=55,17,Data Processing,2.780816000
7,0.291950,17,Computation time,2.780816000
6,,18,Current Resource,2.800000000
7,,17,Current Resource,2.800000000
8,,1,Current Resource,2.800000000
6,,18,Current Resource,2.820000000
7,,17,Current Resource,2.820000000
8,,1,Current Resource,2.820000000
8,/prefix/seq=56,0,Data Processing,2.830816000
8,1.000130,0,Computation time,2.830816000
6,,18,Current Resource,2.840000000
7,,17,Current Resource,2.840000000
8,,0,Current Resource,2.840000000
6,,18,Current Resource,2.860000000
7,,17,Current Resource,2.860000000
8,,0,Current Resource,2.860000000
6,/prefix/seq=51,19,Data Correction,2.872792956
6,,19,Current Resource,2.880000000
7,,17,Current Resource,2.880000000
8,,0,Current Resource,2.880000000
6,/prefix/seq=57,18,Data Processing,2.880816000
6,0.250484,18,Computation time,2.880816000
7,/prefix/seq=52,18,Data Correction,2.881495866
6,,18,Current Resource,2.900000000
7,,18,Current Resource,2.900000000
8,,0,Current Resource,2.900000000
6,,18,Current Resource,2.920000000
7,,18,Current Resource,2.920000000
8,,0,Current Resource,2.920000000
6,/prefix/seq=58,17,Data Processing,2.930816000
6,0.292422,17,Computation time,2.930816000
8,/prefix/seq=38,1,Data Correction,2.930934419
6,,17,Current Resource,2.940000000
7,,18,Current Resource,2.940000000
8,,1,Current Resource,2.940000000
6,,17,Current Resource,2.960000000
7,,18,Current Resource,2.960000000
8,,1,Current Resource,2.960000000
7,/prefix/seq=53,19,Data Correction,2.973197384
6,,17,Current Resource,2.980000000
7,,19,Current Resource,2.980000000
8,,1,Current Resource,2.980000000
7,/prefix/seq=59,18,Data Processing,2.980816000
7,0.250642,18,Computation time,2.980816000
6,,17,Current Resource,3.000000000
7,,18,Current Resource,3.000000000
8,,1,Current Resource,3.000000000
6,,17,Current Resource,3.020000000
7,,18,Current Resource,3.020000000
8,,1,Current Resource,3.020000000
6,/prefix/seq=54,18,Data Correction,3.022721337
8,/prefix/seq=60,0,Data Processing,3.030816000
8,1.000846,0,Computation time,3.030816000
6,,18,Current Resource,3.040000000
7,,18,Current Resource,3.040000000
8,,0,Current Resource,3.040000000
6,,18,Current Resource,3.060000000
7,,18,Current Resource,3.060000000
8,,0,Current Resource,3.060000000
7,/prefix/seq=55,19,Data Correction,3.072765792
6,,18,Current Resource,3.080000000
7,,19,Current Resource,3.080000000
8,,0,Current Resource,3.080000000
6,/prefix/seq=61,17,Data Processing,3.080816000
6,0.292487,17,Computation time,3.080816000
8,/prefix/seq=41,1,Data Correction,3.081432536
6,,17,Current Resource,3.100000000
7,,19,Current Resource,3.100000000
8,,1,Current Resource,3.100000000
6,,17,Current Resource,3.120000000
7,,19,Current Resource,3.120000000
